,Index,Words,Type,Description
1,1.0,punting,(verb),"to kick a ball when playing football, soccer or rugby before the ball hits the"
2,,,,ground when dropped from the hands.
3,2.0,crowd,(noun),a large number of people especially when condensed into a compact group
4,,,,without order.
5,3.0,secret,(adjective),"hidden, concealed."
6,4.0,fumble,(verb),"to move awkwardly along, feeling one's way."
7,5.0,pond,(noun),"a body of water that is smaller than a lake but larger than a pool, and that"
8,,,,either occurs naturally or is confined through man-made means.
9,6.0,health,(noun),the state in which the parts of an organism are performing their vital
10,,,,functions normally and properly.
11,7.0,pardon,(noun),forgiveness of a fault or offense.
12,8.0,shake,(verb),to grip or join hands.
13,9.0,kiddo,(noun),— used as a familiar way to greet someone.
14,10.0,proof,(noun),anything serving as evidence to determine the judgment or finding of a
15,,,,court of law.
16,11.0,gorp,(noun),a snack that is usually comprised of high-energy foods such as nuts.
17,12.0,town,(noun),a compressed settled area that in terms of population is larger than a
18,,,,village but smaller than a city.
19,13.0,bingo,(noun),a game played using a grid in which five covered numbers in a row means a
20,,,,win.
21,14.0,clever,(adjective),"having quick mental faculties, intelligence and resourcefulness in"
22,,,,improvising accompanied by cunning wit or physical readiness and grace.
23,15.0,inside,(adjective),being on an inner surface or side.
24,16.0,reply,(verb),to answer in words or writing.
25,17.0,frozen,(adjective),subject to severe cold : chilly.
26,18.0,special,(adjective),"noteworthy, extraordinary, uncommon."
27,19.0,film,(verb),to make a movie of.
28,20.0,results,(plural noun),a comprehensive publication of the outcome of competitive events.
29,21.0,soda,(noun),a beverage that consists of water which is highly charged with carbon
30,,,,dioxide that is used to make soft drinks.
31,22.0,seal,(noun),a marine aquatic carnivorous mammal that lives near cold seacoasts or on
32,,,,"floating ice, bears its young on land, feeds on fish and other marine"
33,,,,"animals, has webbed flippers adapted for swimming, and has been hunted"
34,,,,"for its fur, hide and oil."
35,23.0,twirled,(verb),spun quickly.
36,24.0,disembark,(verb),to leave or go ashore from a ship.
37,26.0,grown-ups,(plural noun),adults : those that have reached full physical and intellectual
38,,,,development.
39,27.0,pieces,(plural noun),parts of a whole thing.
40,28.0,brass,(noun),a typically yellow alloy made of copper with zinc which is capable of
41,,,,being formed and is harder and stronger than copper.
42,29.0,onshore,(adverb),within the country.
43,30.0,stunts,(plural noun),feats or tricks which display significant strength or skill.
44,31.0,deny,(verb),to turn down or give a negative answer to a person.
45,32.0,jolly,(adjective),joyous.
46,33.0,powder,(noun),a substance made up of very fine particles.
47,34.0,earthquake,(noun),a trembling or shaking of the earth that accompanies crustal
48,,,,movements.
49,35.0,walnut,(noun),an edible nut that comes from a tree of the same name.
50,36.0,sawdust,(noun),dry pulverized particles of wood or stone made during the process of
51,,,,cutting material with a manually operated or power-driven tool.
52,37.0,flustered,(verb),"confused, muddled."
53,38.0,barber,(noun),"one whose job is to cut and dress hair, as well as shave and trim"
54,,,,beards.
55,39.0,chimes,(verb),"makes a musical and harmonious sound, like a bell."
56,40.0,cabin,(noun),a small single-story low-roofed house of simple construction.
57,41.0,faint,(adjective),"feeble, dizzy and likely to pass out due to hunger, illness, pain, shock"
58,,,,or emotion.
59,42.0,manger,(noun),an open box in which food is placed for horses or cattle to eat.
60,43.0,peppermint,(noun),a sharp and strong smelling plant with dark green leaves and whorls
61,,,,of small pink flowers in spikes.
62,44.0,broth,(noun),"liquid which was used to cook meat, fish, grains or vegetables."
63,45.0,ash,(noun),the material that is left behind after combustible materials (such as
64,,,,coal) have been burned.
65,46.0,flame,(noun),the part of a fire which glows.
66,47.0,grits,(plural noun),"grains such as maize, wheat or barley which have been hulled and"
67,,,,coarsely ground.
68,48.0,cliff,(noun),a very steep face of rock or earth : precipice.
69,49.0,hem,(noun),"an edge of cloth (such as for a skirt, sleeve or napkin) which has been"
70,,,,finished by folding back the edge and sewing it down.
71,,,,you will be well prepared for a school spelling bee.
72,,,,nan
73,50.0,candles,(plural noun," long, slender, cylindrical masses made of wax and containing wicks"
74,,,,that are burned to give light.
75,51.0,brim,(noun, the edge of a cup or bowl.
76,52.0,plot,(verb, to devise or plan.
77,53.0,desk,(noun, a table with a sloping or horizontal surface used for writing and
78,,,,"reading, often furnished with drawers and compartments."
79,54.0,bobcat,(noun, a lynx from North America that is reddish with dark markings.
80,55.0,polo,(noun, a game played by teams of three or four players on horseback who
81,,,,use mallets with long handles to move a wooden ball down the field
82,,,,and through goalposts.
83,56.0,roller,(noun, a device made of a rotating cylinder that is covered with an absorbent
84,,,,material and mounted on a handle so that the cylinder can be dipped
85,,,,into paint and rolled over a flat surface such as a wall.
86,57.0,stark,(adjective," barren, desolate, bleak."
87,58.0,drum,(noun, a musical percussion instrument that usually consists of a hollow
88,,,,cylinder with a skin head stretched over it which is beaten with a stick
89,,,,or pair of sticks.
90,59.0,snarl,,(noun
91,,,,unravel.
92,60.0,argue,(verb, to give statements or provide facts in support of or in opposition to an
93,,,,opinion.
94,61.0,loppers,(plural noun, shears used for pruning which are about two feet in length.
95,62.0,petal,(noun, one of the typically leaf-shaped members that make up the inner set
96,,,,of leaves of a flower.
97,63.0,giant,(adjective, extremely large.
98,64.0,sniffle,(verb, to bring air noisily up into the nose over and over again to stop mucus
99,,,from running from the nose (typical of having a cold,.
100,65.0,mouth,(noun, the opening for food to enter the body of an animal.
101,66.0,filters,,(plural noun
102,,,,separate liquid or gas from solid matter by passing the matter
103,,,,through the article.
104,67.0,cone,(noun, a crisp conical wafer used to hold ice cream.
105,68.0,never,(adverb, at no time.
106,69.0,silly,(adjective, of little weight or importance.
107,70.0,Monday,(noun, the second day of the week.
108,71.0,grub,(noun, food.
109,72.0,hook,(noun, a curved piece of metal or other hard material that is used for
110,,,,"catching, holding or pulling."
111,73.0,number,(noun),the total sum of units involved.
112,74.0,cooking,(verb),preparing food for the table by a heating process.
113,75.0,amazed,(adjective),filled with wonder : astounded.
114,76.0,collect,(verb),to gather together into a group or assortment.
115,77.0,local,(adjective),characterized by or confined to a particular place : not widespread.
116,78.0,proper,(adjective),"marked by being suitable, fit, compatible or in accordance."
117,79.0,basement,(noun),the part of a building that is either completely or partly below the
118,,,,ground level.
119,80.0,ripple,(verb),to become lightly ruffled on the surface (such as can occur with
120,,,,water).
121,81.0,feats,(plural noun),deeds or acts.
122,82.0,plumbing,(noun),the articles (such as pipes and fixtures) in a building that are
123,,,,"concerned with the introduction, distribution and disposal of water."
124,83.0,stubborn,(adjective),perversely unyielding in character or quality.
125,84.0,adrift,(adverb),without anchor or mooring and without controlled direction.
126,85.0,sweeten,(verb),to add sugar to.
127,86.0,neon,(adjective),extremely bright in color.
128,87.0,beeswax,(noun),business — used primarily by children.
129,88.0,social,(adjective),marked by pleasant time spent with one's friends or companions.
130,89.0,behold,(verb),to experience or apprehend : to receive the full impression of
131,,,,something through sight.
132,90.0,mix,(verb),"to stir, shake or bring different substances together."
133,91.0,drool,(noun),saliva issuing from the mouth in a stream.
