Index,Difficulty Level,Words,WOC_2021
0,ONE,gel,1
1,ONE,day,1
2,ONE,scorch,1
3,ONE,hear,1
4,ONE,sizzle,1
5,ONE,jotted,1
6,ONE,train,1
7,ONE,upset,1
8,ONE,motor,1
9,ONE,sprint,1
10,ONE,hatchling,1
11,ONE,swirled,1
12,ONE,sport,1
13,ONE,father,1
14,ONE,talking,1
15,ONE,awe,1
16,ONE,razz,1
17,ONE,amount,1
18,ONE,rich,1
19,ONE,jam,1
20,ONE,money,1
21,ONE,afar,1
22,ONE,followed,1
23,ONE,sighed,1
24,ONE,eel,1
25,ONE,mugs,1
26,ONE,couch,1
27,ONE,bowl,1
28,ONE,purple,1
29,ONE,sheen,1
30,ONE,fans,1
31,ONE,fair,1
32,ONE,nibble,1
33,ONE,sweat,1
34,ONE,entire,1
35,ONE,worse,1
36,ONE,dome,1
37,ONE,dinner,1
38,ONE,strands,1
39,ONE,cost,1
40,ONE,December,1
41,ONE,sandwich,1
42,ONE,tall,1
43,ONE,rats,1
44,ONE,chapter,1
45,ONE,sleek,1
46,ONE,sudden,1
47,ONE,duo,1
48,ONE,better,1
49,ONE,fed,1
50,ONE,chess,1
51,ONE,bottle,1
52,ONE,slither,1
53,ONE,gleaming,1
54,ONE,hit,1
55,ONE,sir,1
56,ONE,slimy,1
57,ONE,smart,1
58,ONE,combed,1
59,ONE,repress,1
60,ONE,peanut,1
61,ONE,boom,1
62,ONE,squeak,1
63,ONE,stared,1
64,ONE,patrol,1
65,ONE,clothes,1
66,ONE,cake,1
67,ONE,wave,1
68,ONE,friend,1
69,ONE,plopped,1
70,ONE,epic,1
71,ONE,either,1
72,ONE,bite,1
73,ONE,trunk,1
74,ONE,laptop,1
75,ONE,darted,1
76,ONE,vital,1
77,ONE,rely,1
78,ONE,noon,1
79,ONE,sleepy,1
80,ONE,movie,1
81,ONE,angry,1
82,ONE,window,1
83,TWO,window,1
84,ONE,chose,1
85,ONE,gummy,1
86,ONE,full,1
87,ONE,known,1
88,ONE,sidekick,1
89,ONE,pocket,1
90,ONE,belle,1
91,ONE,sting,1
92,ONE,huge,1
93,ONE,suffer,1
94,ONE,stuff,1
95,ONE,project,1
96,ONE,else,1
97,ONE,ray,1
98,ONE,born,1
99,ONE,double,1
100,ONE,least,1
101,ONE,goofy,1
102,ONE,picture,1
103,ONE,dusk,1
104,ONE,jumping,1
105,ONE,watch,1
106,ONE,little,1
107,ONE,remember,1
108,ONE,prepare,1
109,ONE,mops,1
110,ONE,damp,1
111,ONE,ahoy,1
112,ONE,felt,1
113,ONE,travel,1
114,ONE,percent,1
115,ONE,thanks,1
116,ONE,from,1
117,ONE,dream,1
118,ONE,summer,1
119,ONE,cranky,1
120,ONE,afraid,1
121,ONE,dash,1
122,ONE,hunch,1
123,ONE,whine,1
124,ONE,carefully,1
125,ONE,career,1
126,ONE,rescue,1
127,ONE,skin,1
128,ONE,each,1
129,ONE,beans,1
130,ONE,would,1
131,ONE,disease,1
132,ONE,star,1
133,ONE,shade,1
134,ONE,child,1
135,ONE,shambles,1
136,ONE,trophy,1
137,ONE,began,1
138,ONE,ribs,1
139,ONE,space,1
140,ONE,taillight,1
141,ONE,theater,1
142,ONE,grew,1
143,ONE,forever,1
144,ONE,princess,1
145,ONE,quicken,1
146,ONE,theatre,1
147,ONE,fine,1
148,ONE,freeze,1
149,ONE,piper,1
150,ONE,presence,1
151,ONE,athlete,1
152,ONE,gradual,1
153,ONE,bedlam,1
154,ONE,gargantuan,1
155,ONE,gimmick,1
156,ONE,monopolize,1
157,ONE,target,1
158,ONE,ferocious,1
159,ONE,shortfall,1
160,ONE,salsa,1
161,ONE,flannel,1
162,ONE,water,1
163,ONE,angora,1
164,ONE,frequently,1
165,ONE,cowlick,1
166,ONE,chaotic,1
167,ONE,cucumber,1
168,ONE,marathon,1
169,ONE,snippet,1
170,ONE,permission,1
171,ONE,opinionated,1
172,ONE,shrimp,1
173,ONE,McMansion,1
174,ONE,omission,1
175,ONE,ascribe,1
176,ONE,towel,1
177,ONE,slogan,1
178,ONE,mandate,1
179,ONE,janitor,1
180,ONE,newbie,1
181,ONE,hodgepodge,1
182,ONE,sundae,1
183,ONE,triumphant,1
184,ONE,turret,1
185,ONE,lionize,1
186,ONE,spreadsheet,1
187,ONE,verbiage,1
188,ONE,ornament,1
189,ONE,parenthetic,1
190,ONE,pigeon,1
191,ONE,headdress,1
192,ONE,badger,1
193,ONE,nephew,1
194,ONE,rooster,1
195,ONE,listener,1
196,ONE,satellite,1
197,ONE,ludicrous,1
198,ONE,fortification,1
199,ONE,imbibe,1
200,ONE,scold,1
201,ONE,guardian,1
202,ONE,parasite,1
203,ONE,pear,1
204,ONE,hydra,1
205,ONE,savvy,1
206,ONE,organza,1
207,ONE,dwindled,1
208,ONE,favorite,1
209,ONE,system,1
210,ONE,grouse,1
211,ONE,reckon,1
212,ONE,fragile,1
213,ONE,fraught,1
214,ONE,favourite,1
215,ONE,pedigree,1
216,ONE,manta,1
217,ONE,boorish,1
218,ONE,galaxy,1
219,ONE,sturdy,1
220,ONE,cascade,1
221,ONE,empty,1
222,ONE,astonish,1
223,ONE,tarmac,1
224,ONE,complaint,1
225,ONE,treadmill,1
226,ONE,dandelion,1
227,ONE,amulet,1
228,ONE,fashionista,1
229,ONE,iteration,1
230,ONE,curries,1
231,ONE,originate,1
232,ONE,famous,1
233,ONE,guess,1
234,ONE,stubble,1
235,ONE,nurture,1
236,ONE,tennis,1
237,ONE,forfend,1
238,ONE,pristine,1
239,ONE,magician,1
240,ONE,genius,1
241,ONE,volcano,1
242,ONE,grumbling,1
243,ONE,forefend,1
244,ONE,golden,1
245,ONE,carrot,1
246,ONE,nuance,1
247,ONE,forensics,1
248,ONE,garlic,1
249,ONE,eavesdrop,1
250,ONE,modesty,1
251,ONE,meteor,1
252,ONE,stencil,1
253,ONE,miraculous,1
254,ONE,hula,1
255,ONE,January,1
256,ONE,amphibian,1
257,ONE,distraught,1
258,ONE,penguin,1
259,ONE,trendy,1
260,ONE,reactionary,1
261,ONE,scruple,1
262,ONE,jealousy,1
263,ONE,freight,1
264,ONE,freckle,1
265,ONE,permafrost,1
266,ONE,muscular,1
267,ONE,moxie,1
268,ONE,remedial,1
269,ONE,honeybee,1
270,ONE,blooper,1
271,ONE,iceberg,1
272,ONE,drizzle,1
273,ONE,winnow,1
274,ONE,vouch,1
275,ONE,blemish,1
276,ONE,misconception,1
277,ONE,cactus,1
278,ONE,accurate,1
279,ONE,incentive,1
280,ONE,trivia,1
281,ONE,crumpet,1
282,ONE,lambkin,1
283,ONE,nationalism,1
284,ONE,studio,1
285,ONE,admirer,1
286,ONE,shoulder,1
287,ONE,blizzard,1
288,ONE,chowder,1
289,ONE,leeway,1
290,ONE,illusionist,1
291,ONE,emotional,1
292,ONE,zebra,1
293,ONE,squirm,1
294,ONE,sunflower,1
295,ONE,pilferer,1
296,ONE,genetic,1
297,ONE,chia,1
298,ONE,butterscotch,1
299,ONE,harmonious,1
300,ONE,lambasted,1
301,ONE,rollicking,1
302,ONE,levity,1
303,ONE,raspberry,1
304,ONE,apron,1
305,ONE,lawyer,1
306,ONE,volumetric,1
307,ONE,quart,1
308,ONE,moisture,1
309,ONE,bogus,1
310,ONE,beagle,1
311,ONE,valiant,1
312,ONE,flattery,1
313,ONE,lactose,1
314,ONE,toughness,1
315,ONE,recoup,1
316,ONE,kidney,1
317,ONE,purse,1
318,ONE,simmer,1
319,ONE,domineering,1
320,ONE,tasteless,1
321,ONE,bookworm,1
322,ONE,wistful,1
323,ONE,raisin,1
324,ONE,whisk,1
325,ONE,onion,1
326,ONE,astute,1
327,ONE,veteran,1
328,ONE,raven,1
329,ONE,trumpet,1
330,ONE,bathtub,1
331,ONE,abandon,1
332,ONE,turtle,1
333,ONE,erase,1
334,ONE,fructose,1
335,ONE,bias,1
336,ONE,fantastically,1
337,ONE,vault,1
338,ONE,Pinkerton,1
339,ONE,handcuffs,1
340,ONE,Amazon,1
341,ONE,lettuce,1
342,ONE,failure,1
343,ONE,junior,1
344,ONE,fortune,1
345,ONE,spinal,1
346,ONE,companion,1
347,ONE,shamrock,1
348,ONE,tolerable,1
349,ONE,hamlet,1
350,ONE,sluggard,1
351,ONE,demolition,1
352,ONE,panorama,1
353,ONE,Americana,1
354,ONE,mosquito,1
355,ONE,jubilant,1
356,ONE,thawed,1
357,ONE,mince,1
358,ONE,puzzles,1
359,ONE,lounge,1
360,ONE,gnash,1
361,ONE,calzone,1
362,ONE,uncle,1
363,ONE,bubbly,1
364,ONE,scumble,1
365,ONE,supper,1
366,ONE,knuckle,1
367,ONE,bawl,1
368,ONE,dawdle,1
369,ONE,graham,1
370,ONE,extinct,1
371,ONE,explosive,1
372,ONE,bribery,1
373,ONE,circle,1
374,ONE,mogul,1
375,ONE,headlong,1
376,ONE,jersey,1
377,ONE,cajole,1
378,ONE,glucose,1
379,ONE,respect,1
380,ONE,troll,1
381,ONE,timber,1
382,ONE,trapezoid,1
383,ONE,bauble,1
384,ONE,mower,1
385,ONE,introverted,1
386,ONE,kindred,1
387,ONE,medallion,1
388,ONE,dillydally,1
389,ONE,happenstance,1
390,ONE,campus,1
391,ONE,fuddy-duddy,1
392,ONE,tantrum,1
393,ONE,maximum,1
394,ONE,haggle,1
395,ONE,tussle,1
396,ONE,infant,1
397,ONE,pulley,1
398,ONE,science,1
399,ONE,clover,1
400,ONE,sword,1
401,ONE,inched,1
402,ONE,thunderbolt,1
403,ONE,Kodiak,1
404,ONE,cement,1
405,ONE,casino,1
406,ONE,mastiff,1
407,ONE,dimension,1
408,ONE,despicable,1
409,ONE,misinterpret,1
410,ONE,venomous,1
411,ONE,distinctive,1
412,ONE,cooperate,1
413,ONE,ugliness,1
414,ONE,elderly,1
415,ONE,twee,1
416,ONE,plaintiff,1
417,ONE,mister,1
418,ONE,merchandise,1
419,ONE,quack,1
420,ONE,amigo,1
421,ONE,holiday,1
422,ONE,mayhem,1
423,ONE,warning,1
424,ONE,gauntlet,1
425,ONE,spider,1
426,ONE,bestow,1
427,ONE,indigo,1
428,ONE,thicket,1
429,ONE,useful,1
430,ONE,apology,1
431,ONE,weather,1
432,ONE,gung ho,1
433,ONE,forage,1
434,ONE,gymnastics,1
435,ONE,difficult,1
436,ONE,carnival,1
437,ONE,twinge,1
438,ONE,umbrella,1
439,ONE,tooth,1
440,ONE,island,1
441,ONE,mischief,1
442,ONE,buffoonery,1
443,ONE,poncho,1
444,ONE,synthetic,1
445,ONE,dauntlessly,1
