,Difficulty Level,Words,WOC_2021,SOW_2021,WOC_2020,SOW_2020
0,ONE,gel,1,0,0,0
1,ONE,day,1,0,0,0
2,ONE,scorch,1,0,0,0
3,ONE,hear,1,0,0,0
4,ONE,sizzle,1,0,0,0
5,ONE,jotted,1,0,0,0
6,ONE,train,1,0,0,0
7,ONE,upset,1,0,0,0
8,ONE,motor,1,0,0,0
9,ONE,sprint,1,0,0,0
10,ONE,hatchling,1,0,0,0
11,ONE,swirled,1,0,0,0
12,ONE,sport,1,0,0,0
13,ONE,father,1,0,0,0
14,ONE,talking,1,0,0,0
15,ONE,awe,1,0,0,0
16,ONE,razz,1,0,0,0
17,ONE,amount,1,0,0,0
18,ONE,rich,1,0,0,0
19,ONE,jam,1,0,0,0
20,ONE,money,1,0,0,0
21,ONE,afar,1,0,0,0
22,ONE,followed,1,0,0,0
23,ONE,sighed,1,0,0,0
24,ONE,eel,1,0,0,0
25,ONE,mugs,1,0,0,0
26,ONE,couch,1,0,0,0
27,ONE,bowl,1,0,0,0
28,ONE,purple,1,0,0,0
29,ONE,sheen,1,0,0,0
30,ONE,fans,1,0,0,0
31,ONE,fair,1,0,0,0
32,ONE,nibble,1,0,0,0
33,ONE,sweat,1,0,0,0
34,ONE,entire,1,0,0,0
35,ONE,worse,1,0,0,0
36,ONE,dome,1,0,0,0
37,ONE,dinner,1,0,0,0
38,ONE,strands,1,0,0,0
39,ONE,cost,1,0,0,0
40,ONE,December,1,0,0,0
41,ONE,sandwich,1,0,0,0
42,ONE,tall,1,0,0,0
43,ONE,rats,1,0,0,0
44,ONE,chapter,1,0,0,0
45,ONE,sleek,1,0,0,0
46,ONE,sudden,1,0,0,0
47,ONE,duo,1,0,0,0
48,ONE,better,1,0,0,0
49,ONE,fed,1,0,0,0
50,ONE,chess,1,0,0,0
51,ONE,bottle,1,0,0,0
52,ONE,slither,1,0,0,0
53,ONE,gleaming,1,0,0,0
54,ONE,hit,1,0,0,0
55,ONE,sir,1,0,0,0
56,ONE,slimy,1,0,0,0
57,ONE,smart,1,0,0,0
58,ONE,combed,1,0,0,0
59,ONE,repress,1,0,0,0
60,ONE,peanut,1,0,0,0
61,ONE,boom,1,0,0,0
62,ONE,squeak,1,0,0,0
63,ONE,stared,1,0,0,0
64,ONE,patrol,1,0,0,0
65,ONE,clothes,1,0,0,0
66,ONE,cake,1,0,0,0
67,ONE,wave,1,0,0,0
68,ONE,friend,1,0,0,0
69,ONE,plopped,1,0,0,0
70,ONE,epic,1,0,0,0
71,ONE,either,1,0,0,0
72,ONE,bite,1,0,0,0
73,ONE,trunk,1,0,0,0
74,ONE,laptop,1,0,0,0
75,ONE,darted,1,0,0,0
76,ONE,vital,1,0,0,0
77,ONE,rely,1,0,0,0
78,ONE,noon,1,0,0,0
79,ONE,sleepy,1,0,0,0
80,ONE,movie,1,0,0,0
81,ONE,angry,1,0,0,0
82,ONE,window,1,0,0,0
83,TWO,window,1,0,0,0
84,ONE,chose,1,0,0,0
85,ONE,gummy,1,0,0,0
86,ONE,full,1,0,0,0
87,ONE,known,1,0,0,0
88,ONE,sidekick,1,0,0,0
89,ONE,pocket,1,0,0,0
90,ONE,belle,1,0,0,0
91,ONE,sting,1,0,0,0
92,ONE,huge,1,0,0,0
93,ONE,suffer,1,0,0,0
94,ONE,stuff,1,0,0,0
95,ONE,project,1,0,0,0
96,ONE,else,1,0,0,0
97,ONE,ray,1,0,0,0
98,ONE,born,1,0,0,0
99,ONE,double,1,0,0,0
100,ONE,least,1,0,0,0
101,ONE,goofy,1,0,0,0
102,ONE,picture,1,0,0,0
103,ONE,dusk,1,0,0,0
104,ONE,jumping,1,0,0,0
105,ONE,watch,1,0,0,0
106,ONE,little,1,0,0,0
107,ONE,remember,1,0,0,0
108,ONE,prepare,1,0,0,0
109,ONE,mops,1,0,0,0
110,ONE,damp,1,0,0,0
111,ONE,ahoy,1,0,0,0
112,ONE,felt,1,0,0,0
113,ONE,travel,1,0,0,0
114,ONE,percent,1,0,0,0
115,ONE,thanks,1,0,0,0
116,ONE,from,1,0,0,0
117,ONE,dream,1,0,0,0
118,ONE,summer,1,0,0,0
119,ONE,cranky,1,0,0,0
120,ONE,afraid,1,0,0,0
121,ONE,dash,1,0,0,0
122,ONE,hunch,1,0,0,0
123,ONE,whine,1,0,0,0
124,ONE,carefully,1,0,0,0
125,ONE,career,1,0,0,0
126,ONE,rescue,1,0,0,0
127,ONE,skin,1,0,0,0
128,ONE,each,1,0,0,0
129,ONE,beans,1,0,0,0
130,ONE,would,1,0,0,0
131,ONE,disease,1,0,0,0
132,ONE,star,1,0,0,0
133,ONE,shade,1,0,0,0
134,ONE,child,1,0,0,0
135,ONE,shambles,1,0,0,0
136,ONE,trophy,1,0,0,0
137,ONE,began,1,0,0,0
138,ONE,ribs,1,0,0,0
139,ONE,space,1,0,0,0
140,ONE,taillight,1,0,0,0
141,ONE,theater,1,0,0,0
142,ONE,grew,1,0,0,0
143,ONE,forever,1,0,0,0
144,ONE,princess,1,0,0,0
145,ONE,quicken,1,0,0,0
146,ONE,theatre,1,0,0,0
147,ONE,fine,1,0,0,0
148,ONE,freeze,1,0,0,0
149,ONE,piper,1,0,0,0
150,ONE,presence,1,0,0,0
151,ONE,athlete,1,0,0,0
152,ONE,gradual,1,0,0,0
153,ONE,bedlam,1,0,0,0
154,ONE,gargantuan,1,0,0,0
155,ONE,gimmick,1,0,0,0
156,ONE,monopolize,1,0,0,0
157,ONE,target,1,0,0,0
158,ONE,ferocious,1,0,0,0
159,ONE,shortfall,1,0,0,0
160,ONE,salsa,1,0,0,0
161,ONE,flannel,1,0,0,0
162,ONE,water,1,0,0,0
163,ONE,angora,1,0,0,0
164,ONE,frequently,1,0,0,0
165,ONE,cowlick,1,0,0,0
166,ONE,chaotic,1,0,0,0
167,ONE,cucumber,1,0,0,0
168,ONE,marathon,1,0,0,0
169,ONE,snippet,1,0,0,0
170,ONE,permission,1,0,0,0
171,ONE,opinionated,1,0,0,0
172,ONE,shrimp,1,0,0,0
173,ONE,McMansion,1,0,0,0
174,ONE,omission,1,0,0,0
175,ONE,ascribe,1,0,0,0
176,ONE,towel,1,0,0,0
177,ONE,slogan,1,0,0,0
178,ONE,mandate,1,0,0,0
179,ONE,janitor,1,0,0,0
180,ONE,newbie,1,0,0,0
181,ONE,hodgepodge,1,0,0,0
182,ONE,sundae,1,0,0,0
183,ONE,triumphant,1,0,0,0
184,ONE,turret,1,0,0,0
185,ONE,lionize,1,0,0,0
186,ONE,spreadsheet,1,0,0,0
187,ONE,verbiage,1,0,0,0
188,ONE,ornament,1,0,0,0
189,ONE,parenthetic,1,0,0,0
190,ONE,pigeon,1,0,0,0
191,ONE,headdress,1,0,0,0
192,ONE,badger,1,0,0,0
193,ONE,nephew,1,0,0,0
194,ONE,rooster,1,0,0,0
195,ONE,listener,1,0,0,0
196,ONE,satellite,1,0,0,0
197,ONE,ludicrous,1,0,0,0
198,ONE,fortification,1,0,0,0
199,ONE,imbibe,1,0,0,0
200,ONE,scold,1,0,0,0
201,ONE,guardian,1,0,0,0
202,ONE,parasite,1,0,0,0
203,ONE,pear,1,0,0,0
204,ONE,hydra,1,0,0,0
205,ONE,savvy,1,0,0,0
206,ONE,organza,1,0,0,0
207,ONE,dwindled,1,0,0,0
208,ONE,favorite,1,0,0,0
209,ONE,system,1,0,0,0
210,ONE,grouse,1,0,0,0
211,ONE,reckon,1,0,0,0
212,ONE,fragile,1,0,0,0
213,ONE,fraught,1,0,0,0
214,ONE,favourite,1,0,0,0
215,ONE,pedigree,1,0,0,0
216,ONE,manta,1,0,0,0
217,ONE,boorish,1,0,0,0
218,ONE,galaxy,1,0,0,0
219,ONE,sturdy,1,0,0,0
220,ONE,cascade,1,0,0,0
221,ONE,empty,1,0,0,0
222,ONE,astonish,1,0,0,0
223,ONE,tarmac,1,0,0,0
224,ONE,complaint,1,0,0,0
225,ONE,treadmill,1,0,0,0
226,ONE,dandelion,1,0,0,0
227,ONE,amulet,1,0,0,0
228,ONE,fashionista,1,0,0,0
229,ONE,iteration,1,0,0,0
230,ONE,curries,1,0,0,0
231,ONE,originate,1,0,0,0
232,ONE,famous,1,0,0,0
233,ONE,guess,1,0,0,0
234,ONE,stubble,1,0,0,0
235,ONE,nurture,1,0,0,0
236,ONE,tennis,1,0,0,0
237,ONE,forfend,1,0,0,0
238,ONE,pristine,1,0,0,0
239,ONE,magician,1,0,0,0
240,ONE,genius,1,0,0,0
241,ONE,volcano,1,0,0,0
242,ONE,grumbling,1,0,0,0
243,ONE,forefend,1,0,0,0
244,ONE,golden,1,0,0,0
245,ONE,carrot,1,0,0,0
246,ONE,nuance,1,0,0,0
247,ONE,forensics,1,0,0,0
248,ONE,garlic,1,0,0,0
249,ONE,eavesdrop,1,0,0,0
250,ONE,modesty,1,0,0,0
251,ONE,meteor,1,0,0,0
252,ONE,stencil,1,0,0,0
253,ONE,miraculous,1,0,0,0
254,ONE,hula,1,0,0,0
255,ONE,January,1,0,0,0
256,ONE,amphibian,1,0,0,0
257,ONE,distraught,1,0,0,0
258,ONE,penguin,1,0,0,0
259,ONE,trendy,1,0,0,0
260,ONE,reactionary,1,0,0,0
261,ONE,scruple,1,0,0,0
262,ONE,jealousy,1,0,0,0
263,ONE,freight,1,0,0,0
264,ONE,freckle,1,0,0,0
265,ONE,permafrost,1,0,0,0
266,ONE,muscular,1,0,0,0
267,ONE,moxie,1,0,0,0
268,ONE,remedial,1,0,0,0
269,ONE,honeybee,1,0,0,0
270,ONE,blooper,1,0,0,0
271,ONE,iceberg,1,0,0,0
272,ONE,drizzle,1,0,0,0
273,ONE,winnow,1,0,0,0
274,ONE,vouch,1,0,0,0
275,ONE,blemish,1,0,0,0
276,ONE,misconception,1,0,0,0
277,ONE,cactus,1,0,0,0
278,ONE,accurate,1,0,0,0
279,ONE,incentive,1,0,0,0
280,ONE,trivia,1,0,0,0
281,ONE,crumpet,1,0,0,0
282,ONE,lambkin,1,0,0,0
283,ONE,nationalism,1,0,0,0
