Index,Difficulty Level,Words,Description,WOC_2021,SOW_2021,WOC_2020,SOW_2020
0,ONE,gel,a colloid in a more solid form than a sol,1,1,0,0
1,ONE,day,time for Earth to make a complete rotation on its axis,1,1,0,0
2,ONE,scorch,a surface burn,1,1,0,0
3,ONE,hear,perceive (sound) via the auditory sense,1,1,0,0
4,ONE,sizzle,a sizzling noise,1,1,0,0
5,ONE,jotted,write briefly or hurriedly; write a short note of,1,1,0,0
6,ONE,train,public transport provided by a line of railway cars coupled together and drawn by a locomotive,1,1,0,0
7,ONE,upset,an unhappy and worried mental state,1,1,0,0
8,ONE,motor,machine that converts other forms of energy into mechanical energy and so imparts motion,1,1,0,0
9,ONE,sprint,a quick run,1,1,0,0
10,ONE,hatchling,any recently hatched animal (especially birds),1,1,0,0
11,ONE,swirled,turn in a twisting or spinning motion,1,1,0,0
12,ONE,sport,an active diversion requiring physical exertion and competition,1,1,0,0
13,ONE,father,a male parent (also used as a term of address to your father),1,1,0,0
14,ONE,talking,an exchange of ideas via conversation,1,1,0,0
15,ONE,awe,an overwhelming feeling of wonder or admiration,1,1,0,0
16,ONE,razz,a cry or noise made to express displeasure or contempt,1,1,0,0
17,ONE,amount,a quantity of money,1,1,0,0
18,ONE,rich,people who have possessions and wealth (considered as a group),1,1,0,0
19,ONE,jam,preserve of crushed fruit,1,1,0,0
20,ONE,money,the most common medium of exchange; functions as legal tender,1,1,0,0
21,ONE,afar,(old-fashioned) at or from or to a great distance; far,1,1,0,0
22,ONE,followed,"to travel behind, go after, come after",1,1,0,0
23,ONE,sighed,heave or utter a sigh; breathe deeply and heavily,1,1,0,0
24,ONE,eel,the fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled,1,1,0,0
25,ONE,mugs,the quantity that can be held in a mug,1,1,0,0
26,ONE,couch,an upholstered seat for more than one person,1,1,0,0
27,ONE,bowl,a round vessel that is open at the top; used chiefly for holding food or liquids,1,1,0,0
28,ONE,purple,a purple color or pigment,1,1,0,0
29,ONE,sheen,the visual property of something that shines with reflected light,1,1,0,0
30,ONE,fans,a device for creating a current of air by movement of a surface or surfaces,1,1,0,0
31,ONE,fair,a traveling show; having sideshows and rides and games of skill etc.,1,1,0,0
32,ONE,nibble,a small byte,1,1,0,0
33,ONE,sweat,salty fluid secreted by sweat glands,1,1,0,0
34,ONE,entire,uncastrated adult male horse,1,1,0,0
35,ONE,worse,something inferior in quality or condition or effect,1,1,0,0
36,ONE,dome,a concave shape whose distinguishing characteristic is that the concavity faces downward,1,1,0,0
37,ONE,dinner,the main meal of the day served in the evening or at midday,1,1,0,0
38,ONE,strands,a pattern forming a unity within a larger structural whole,1,1,0,0
39,ONE,cost,the total spent for goods or services including money and time and labor,1,1,0,0
40,ONE,December,the last (12th) month of the year,1,1,0,0
41,ONE,sandwich,two (or more) slices of bread with a filling between them,1,1,0,0
42,ONE,tall,a garment size for a tall person,1,1,0,0
43,ONE,rats,any of various long-tailed rodents similar to but larger than a mouse,1,1,0,0
44,ONE,chapter,a subdivision of a written work; usually numbered and titled,1,1,0,0
45,ONE,sleek,make slick or smooth,1,1,0,0
46,ONE,sudden,happening without warning or in a short space of time,1,1,0,0
47,ONE,duo,two items of the same kind,1,1,0,0
48,ONE,better,something superior in quality or condition or effect,1,1,0,0
49,ONE,fed,any federal law-enforcement officer,1,1,0,0
50,ONE,chess,weedy annual native to Europe but widely distributed as a weed especially in wheat,1,1,0,0
51,ONE,bottle,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,1,1,0,0
