Index,Difficulty Level,Words,Definition,Group,Pronounciation,Meaning,,,,,,,,,,,,,,,,,,,,
0,ONE,gel,http://dictionary.cambridge.org/dictionary/english/gel,,gel,#NAME?,"Information retrieved from Wiktionary under CC-BY-SA 3.0
https://en.wiktionary.org/wiki/gel",,,,,,,,,,,,,,,,,,,
1,ONE,day,http://dictionary.cambridge.org/dictionary/english/day,,day,,,,,,,,,,,,,,,,,,,,,
2,ONE,scorch,http://dictionary.cambridge.org/dictionary/english/scorch,,scorch,,,,,,,,,,,,,,,,,,,,,
3,ONE,hear,http://dictionary.cambridge.org/dictionary/english/hear,,hear,,,,,,,,,,,,,,,,,,,,,
4,ONE,sizzle,http://dictionary.cambridge.org/dictionary/english/sizzle,,sizzle,,,,,,,,,,,,,,,,,,,,,
5,ONE,jotted,http://dictionary.cambridge.org/dictionary/english/jotted,,jotted,,,,,,,,,,,,,,,,,,,,,
6,ONE,train,http://dictionary.cambridge.org/dictionary/english/train,,train,,,,,,,,,,,,,,,,,,,,,
7,ONE,upset,http://dictionary.cambridge.org/dictionary/english/upset,,upset,,,,,,,,,,,,,,,,,,,,,
8,ONE,motor,http://dictionary.cambridge.org/dictionary/english/motor,,motor,,,,,,,,,,,,,,,,,,,,,
9,ONE,sprint,http://dictionary.cambridge.org/dictionary/english/sprint,,sprint,,,,,,,,,,,,,,,,,,,,,
10,ONE,hatchling,http://dictionary.cambridge.org/dictionary/english/hatchling,,hatchling,,,,,,,,,,,,,,,,,,,,,
11,ONE,swirled,http://dictionary.cambridge.org/dictionary/english/swirled,,swirled,,,,,,,,,,,,,,,,,,,,,
12,ONE,sport,http://dictionary.cambridge.org/dictionary/english/sport,,sport,,,,,,,,,,,,,,,,,,,,,
13,ONE,father,http://dictionary.cambridge.org/dictionary/english/father,,father,,,,,,,,,,,,,,,,,,,,,
14,ONE,talking,http://dictionary.cambridge.org/dictionary/english/talking,,talking,,,,,,,,,,,,,,,,,,,,,
15,ONE,awe,http://dictionary.cambridge.org/dictionary/english/awe,,awe,,,,,,,,,,,,,,,,,,,,,
16,ONE,razz,http://dictionary.cambridge.org/dictionary/english/razz,,razz,,,,,,,,,,,,,,,,,,,,,
17,ONE,amount,http://dictionary.cambridge.org/dictionary/english/amount,,amount,,,,,,,,,,,,,,,,,,,,,
18,ONE,rich,http://dictionary.cambridge.org/dictionary/english/rich,,rich,,,,,,,,,,,,,,,,,,,,,
19,ONE,jam,http://dictionary.cambridge.org/dictionary/english/jam,,jam,,,,,,,,,,,,,,,,,,,,,
20,ONE,money,http://dictionary.cambridge.org/dictionary/english/money,,money,,,,,,,,,,,,,,,,,,,,,
21,ONE,afar,http://dictionary.cambridge.org/dictionary/english/afar,,afar,,,,,,,,,,,,,,,,,,,,,
22,ONE,followed,http://dictionary.cambridge.org/dictionary/english/followed,,followed,,,,,,,,,,,,,,,,,,,,,
23,ONE,sighed,http://dictionary.cambridge.org/dictionary/english/sighed,,sighed,,,,,,,,,,,,,,,,,,,,,
24,ONE,eel,http://dictionary.cambridge.org/dictionary/english/eel,,eel,,,,,,,,,,,,,,,,,,,,,
25,ONE,mugs,http://dictionary.cambridge.org/dictionary/english/mugs,,mugs,,,,,,,,,,,,,,,,,,,,,
26,ONE,couch,http://dictionary.cambridge.org/dictionary/english/couch,,couch,,,,,,,,,,,,,,,,,,,,,
27,ONE,bowl,http://dictionary.cambridge.org/dictionary/english/bowl,,bowl,,,,,,,,,,,,,,,,,,,,,
28,ONE,purple,http://dictionary.cambridge.org/dictionary/english/purple,,purple,,,,,,,,,,,,,,,,,,,,,
29,ONE,sheen,http://dictionary.cambridge.org/dictionary/english/sheen,,sheen,,,,,,,,,,,,,,,,,,,,,
30,ONE,fans,http://dictionary.cambridge.org/dictionary/english/fans,,fans,,,,,,,,,,,,,,,,,,,,,
